"link","State","pop2016","pop2010","GrowthRate"
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/pa/montgomery-county-population/"",""children"":""Montgomery County""},""_owner"":null}","Pennsylvania",826075,800981,0.03132908271232404
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/oh/hamilton-county-population/"",""children"":""Hamilton County""},""_owner"":null}","Ohio",813822,802279,0.014387762860551101
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/nj/essex-county-population/"",""children"":""Essex County""},""_owner"":null}","New Jersey",808285,784694,0.03006394849457239
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/or/multnomah-county-population/"",""children"":""Multnomah County""},""_owner"":null}","Oregon",807555,737182,0.0954621789463117
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/wa/snohomish-county-population/"",""children"":""Snohomish County""},""_owner"":null}","Washington",801633,715393,0.12054912474681756
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ma/suffolk-county-population/"",""children"":""Suffolk County""},""_owner"":null}","Massachusetts",797939,725398,0.10000165426427965
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ok/oklahoma-county-population/"",""children"":""Oklahoma County""},""_owner"":null}","Oklahoma",787958,720724,0.09328675054528501
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ma/essex-county-population/"",""children"":""Essex County""},""_owner"":null}","Massachusetts",785205,745422,0.053369769070405804
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/san-mateo-county-population/"",""children"":""San Mateo County""},""_owner"":null}","California",771410,719899,0.07155309286441569
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ky/jefferson-county-population/"",""children"":""Jefferson County""},""_owner"":null}","Kentucky",771158,742018,0.03927128452409501
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/tx/fort-bend-county-population/"",""children"":""Fort Bend County""},""_owner"":null}","Texas",764828,590286,0.29569056355732637
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ga/cobb-county-population/"",""children"":""Cobb County""},""_owner"":null}","Georgia",755754,689595,0.09593892067082854
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ga/dekalb-county-population/"",""children"":""Dekalb County""},""_owner"":null}","Georgia",753253,692572,0.08761688315438687
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ny/monroe-county-population/"",""children"":""Monroe County""},""_owner"":null}","New York",747642,744906,0.0036729466536717936
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/san-joaquin-county-population/"",""children"":""San Joaquin County""},""_owner"":null}","California",745424,687291,0.08458280408153174
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/fl/lee-county-population/"",""children"":""Lee County""},""_owner"":null}","Florida",739224,620467,0.19139938143366209
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/co/denver-county-population/"",""children"":""Denver County""},""_owner"":null}","Colorado",704621,603218,0.16810340540235869
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/il/lake-county-population/"",""children"":""Lake County""},""_owner"":null}","Illinois",703520,704275,-0.0010720244222782727
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ma/norfolk-county-population/"",""children"":""Norfolk County""},""_owner"":null}","Massachusetts",700322,673014,0.04057567896061598
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/co/el-paso-county-population/"",""children"":""El Paso County""},""_owner"":null}","Colorado",699232,626834,0.11549788301208941
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/mo/jackson-county-population/"",""children"":""Jackson County""},""_owner"":null}","Missouri",698895,674804,0.0357007368065394
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties//district-of-columbia-population/"",""children"":""District Of Columbia""},""_owner"":null}","District of Columbia",693972,605040,0.14698532328441094
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/il/will-county-population/"",""children"":""Will County""},""_owner"":null}","Illinois",692661,678798,0.020422865123350453
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/nj/hudson-county-population/"",""children"":""Hudson County""},""_owner"":null}","New Jersey",691643,636345,0.08689940205391733
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/tn/davidson-county-population/"",""children"":""Davidson County""},""_owner"":null}","Tennessee",691243,627973,0.10075273936936768
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/fl/polk-county-population/"",""children"":""Polk County""},""_owner"":null}","Florida",686483,603135,0.13819128387508606
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/nm/bernalillo-county-population/"",""children"":""Bernalillo County""},""_owner"":null}","New Mexico",676773,663999,0.019237980780091535
